Participant ID,4 State Subfolder OK?,Diff_Class.csv,Ref_Class.csv,ZScore_PSD.csv,Signals.Raw.edf,Signals.Decon.edf,Overall OK for Training
01. P-5301,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
02. P-5302,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
03. P-5303,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
04. P-5304,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
06. P-5306,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
07. P-5307,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
08. P-5308,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
09. P-5309,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
10. P-5310,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
11. P-5311,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
12. P-5312,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
13. P-5313,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
14. P-5314,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
15. P-5315,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
16. P-5316,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
17. P-5317,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
18. P-5318,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
19. P-5319,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
20. P-5320,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
21. P-5321,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
22. P-5322,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
23. P-5323,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
24. P-5324,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
25. P-5325,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
26. P-5326,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
27. P-5327,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
28. P-5328,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
29. P-5329,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
30. P-5330,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
31. P-5331,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
32. P-5332,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
33. P-5333,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
34. P-5334,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
35. P-5335,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
36. P-5336,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
37. P-5337,✔ YES,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO,✖ NO
