Participant,pre_n_total,pre_n_valid,pre_n_timeup,post_n_total,post_n_valid,post_n_timeup,pre_correct_rate,post_correct_rate,delta_correct_rate,pre_mean_duration,post_mean_duration,delta_mean_duration,pre_time_up_rate,post_time_up_rate,delta_time_up_rate
P-5301,20,19,1,20,20,0,0.8947,0.8,-0.0947,3.6954,3.0767,-0.6187,0.05,0.0,-0.05
P-5302,20,20,0,20,20,0,0.8,0.5,-0.3,3.0767,2.4623,-0.6144,0.0,0.0,0.0
P-5303,20,18,2,20,19,1,0.9444,0.3684,-0.576,2.9449,3.3388,0.3939,0.1,0.05,-0.05
P-5304,20,19,1,20,20,0,0.7895,0.35,-0.4395,3.3846,1.7646,-1.62,0.05,0.0,-0.05
P-5305,20,19,1,20,17,3,0.9474,0.3529,-0.5944,3.1025,2.2968,-0.8057,0.05,0.15,0.1
P-5306,20,20,0,20,19,1,0.7,0.3684,-0.3316,2.8387,2.7369,-0.1018,0.0,0.05,0.05
P-5307,20,20,0,20,20,0,0.85,0.4,-0.45,2.7714,0.9005,-1.8709,0.0,0.0,0.0
P-5308,20,20,0,20,19,1,0.95,0.3684,-0.5816,3.2352,2.6233,-0.612,0.0,0.05,0.05
P-5309,20,19,1,20,17,3,0.8421,0.4706,-0.3715,2.6374,2.193,-0.4444,0.05,0.15,0.1
P-5310,20,20,0,20,19,1,0.95,0.7368,-0.2132,3.0937,2.4718,-0.6219,0.0,0.05,0.05
P-5311,20,16,4,20,13,7,0.9375,0.1538,-0.7837,2.5319,3.1063,0.5743,0.2,0.35,0.15
P-5312,20,17,3,20,19,1,0.9412,0.2632,-0.678,3.0374,0.7465,-2.2908,0.15,0.05,-0.1
P-5313,20,20,0,20,19,1,0.6,0.8421,0.2421,2.0389,2.8007,0.7618,0.0,0.05,0.05
P-5314,20,19,1,20,18,2,0.8947,0.6111,-0.2836,2.8535,3.0652,0.2117,0.05,0.1,0.05
P-5315,20,20,0,20,19,1,0.8,0.6316,-0.1684,3.4874,2.8499,-0.6375,0.0,0.05,0.05
P-5316,20,19,1,20,18,2,0.7895,0.4444,-0.345,2.9557,2.0595,-0.8962,0.05,0.1,0.05
P-5317,20,20,0,20,14,6,0.8,0.5714,-0.2286,2.7671,2.3394,-0.4277,0.0,0.3,0.3
P-5318,20,19,1,20,19,1,0.7368,0.4211,-0.3158,2.5611,0.4766,-2.0845,0.05,0.05,0.0
P-5319,20,18,2,20,19,1,0.8889,0.7895,-0.0994,2.7198,2.4917,-0.2281,0.1,0.05,-0.05
P-5320,20,19,1,20,19,1,0.7895,0.5789,-0.2105,3.166,2.3162,-0.8498,0.05,0.05,0.0
P-5321,20,20,0,20,18,2,0.85,0.5,-0.35,3.6005,2.693,-0.9075,0.0,0.1,0.1
P-5322,20,18,2,20,19,1,1.0,0.2632,-0.7368,3.1184,1.4714,-1.6471,0.1,0.05,-0.05
P-5323,20,18,2,20,19,1,0.9444,0.7368,-0.2076,3.1949,2.6366,-0.5583,0.1,0.05,-0.05
P-5324,20,19,1,20,18,2,0.8421,0.3889,-0.4532,3.2446,2.3773,-0.8673,0.05,0.1,0.05
P-5325,20,18,2,20,19,1,0.8889,0.4737,-0.4152,3.5977,2.1846,-1.4131,0.1,0.05,-0.05
P-5326,20,20,0,20,19,1,0.9,0.3158,-0.5842,2.7303,1.7709,-0.9594,0.0,0.05,0.05
P-5327,20,19,1,20,19,1,0.7895,0.4211,-0.3684,2.4558,2.6177,0.162,0.05,0.05,0.0
P-5328,20,20,0,20,18,2,0.8,0.3889,-0.4111,2.3998,2.2284,-0.1714,0.0,0.1,0.1
P-5329,20,20,0,20,18,2,0.95,0.5556,-0.3944,2.5042,1.5851,-0.919,0.0,0.1,0.1
P-5330,20,18,2,20,19,1,1.0,0.4211,-0.5789,2.6523,1.4016,-1.2507,0.1,0.05,-0.05
P-5331,20,20,0,20,19,1,0.85,0.3158,-0.5342,2.8867,1.8733,-1.0133,0.0,0.05,0.05
P-5332,20,19,1,20,17,3,0.8947,0.2941,-0.6006,2.5636,2.8456,0.2821,0.05,0.15,0.1
P-5333,20,19,1,20,15,5,0.7368,0.4667,-0.2702,3.2863,3.5518,0.2655,0.05,0.25,0.2
P-5334,20,19,1,20,16,4,0.8421,0.4375,-0.4046,3.6678,3.6712,0.0033,0.05,0.2,0.15
P-5335,20,20,0,20,17,3,0.9,0.2353,-0.6647,2.5941,2.5533,-0.0408,0.0,0.15,0.15
P-5336,20,19,1,20,18,2,0.8947,0.3889,-0.5058,2.7731,3.0622,0.2891,0.05,0.1,0.05
P-5337,20,19,1,20,18,2,0.9474,0.3333,-0.614,3.4099,2.3081,-1.1018,0.05,0.1,0.05
