Participant,pre_n_total,pre_n_valid,pre_n_timeup,post_n_total,post_n_valid,post_n_timeup,pre_correct_rate,post_correct_rate,delta_correct_rate,pre_mean_duration,post_mean_duration,delta_mean_duration,pre_time_up_rate,post_time_up_rate,delta_time_up_rate
P-5301,20,19,1,20,20,0,0.8947368421052632,0.8,-0.09473684210526312,3.6954274804968583,3.0767032504081726,-0.6187242300886857,0.05,0.0,-0.05
P-5302,20,20,0,20,20,0,0.8,0.5,-0.30000000000000004,3.0767032504081726,2.462254500389099,-0.6144487500190734,0.0,0.0,0.0
P-5303,20,18,2,20,19,1,0.9444444444444444,0.3684210526315789,-0.5760233918128654,2.944874975416395,3.3388052739595113,0.3939302985431161,0.1,0.05,-0.05
P-5304,20,19,1,20,20,0,0.7894736842105263,0.35,-0.43947368421052635,3.3845549508144983,1.7645708799362183,-1.61998407087828,0.05,0.0,-0.05
P-5305,20,19,1,20,17,3,0.9473684210526315,0.35294117647058826,-0.5944272445820433,3.1025435297112716,2.2968448049881878,-0.8056987247230838,0.05,0.15,0.09999999999999999
P-5306,20,20,0,20,19,1,0.7,0.3684210526315789,-0.33157894736842103,2.8387290477752685,2.736916027571026,-0.10181302020424265,0.0,0.05,0.05
P-5307,20,20,0,20,20,0,0.85,0.4,-0.44999999999999996,2.771364688873291,0.9004644751548767,-1.8709002137184143,0.0,0.0,0.0
P-5308,20,20,0,20,19,1,0.95,0.3684210526315789,-0.581578947368421,3.2352206707000732,2.6232658310940393,-0.6119548396060339,0.0,0.05,0.05
P-5309,20,19,1,20,17,3,0.8421052631578947,0.47058823529411764,-0.37151702786377705,2.6374209052638005,2.1930097692153034,-0.444411136048497,0.05,0.15,0.09999999999999999
P-5310,20,20,0,20,19,1,0.95,0.7368421052631579,-0.2131578947368421,3.0937308192253115,2.4718479106300757,-0.6218829085952358,0.0,0.05,0.05
P-5311,20,16,4,20,13,7,0.9375,0.15384615384615385,-0.7836538461538461,2.53191277384758,3.1062564849853516,0.5743437111377716,0.2,0.35,0.14999999999999997
P-5312,20,17,3,20,19,1,0.9411764705882353,0.2631578947368421,-0.6780185758513932,3.0373849027297077,0.7465461931730571,-2.2908387095566507,0.15,0.05,-0.09999999999999999
P-5313,20,20,0,20,19,1,0.6,0.8421052631578947,0.2421052631578947,2.0389274835586546,2.8007435171227706,0.761816033564116,0.0,0.05,0.05
P-5314,20,19,1,20,18,2,0.8947368421052632,0.6111111111111112,-0.283625730994152,2.853531837463379,3.065219349331326,0.2116875118679471,0.05,0.1,0.05
P-5315,20,20,0,20,19,1,0.8,0.631578947368421,-0.16842105263157903,3.4873790740966797,2.8499075237073397,-0.63747155038934,0.0,0.05,0.05
P-5316,20,19,1,20,18,2,0.7894736842105263,0.4444444444444444,-0.3450292397660819,2.955744141026547,2.059502032068041,-0.8962421089585062,0.05,0.1,0.05
P-5317,20,20,0,20,14,6,0.8,0.5714285714285714,-0.22857142857142865,2.7671228885650634,2.3394435814448764,-0.427679307120187,0.0,0.3,0.3
P-5318,20,19,1,20,19,1,0.7368421052631579,0.42105263157894735,-0.3157894736842105,2.5610513812617253,0.4765905330055638,-2.0844608482561613,0.05,0.05,0.0
P-5319,20,18,2,20,19,1,0.8888888888888888,0.7894736842105263,-0.09941520467836251,2.7197827763027616,2.4916670071451286,-0.22811576915763299,0.1,0.05,-0.05
