Participant,pre_correct_rate,pre_mean_duration,pre_time_up_rate,pre_n_total,pre_n_valid,pre_n_timeup,post_correct_rate,post_mean_duration,post_time_up_rate,post_n_total,post_n_valid,post_n_timeup,delta_correct_rate,delta_mean_duration,delta_time_up_rate,pre_coss_fatigue,pre_coss_frustration,post_coss_fatigue,post_coss_frustration_level,post_coss_mental_demand,post_coss_physical_demand,post_coss_time_demand,post_coss_overall_performance,post_coss_effort,delta_coss_fatigue,delta_coss_frustration
P-5301,0.8947,3.6954,0.05,20,19,1,0.8,3.0767,0.0,20,20,0,-0.0947,-0.6187,-0.05,6,4,17,9,13,2,7,14,10,11,5
P-5302,0.8,3.0767,0.0,20,20,0,0.5,2.4623,0.0,20,20,0,-0.3,-0.6144,0.0,3,3,12,8,18,3,7,12,10,9,5
P-5303,0.9444,2.9449,0.1,20,18,2,0.3684,3.3388,0.05,20,19,1,-0.576,0.3939,-0.05,7,4,11,9,18,6,15,15,10,4,5
P-5304,0.7895,3.3846,0.05,20,19,1,0.35,1.7646,0.0,20,20,0,-0.4395,-1.62,-0.05,6,1,13,5,11,8,9,17,10,7,4
P-5305,0.9474,3.1025,0.05,20,19,1,0.3529,2.2968,0.15,20,17,3,-0.5944,-0.8057,0.1,3,4,13,6,10,10,7,21,10,10,2
P-5306,0.7,2.8387,0.0,20,20,0,0.3684,2.7369,0.05,20,19,1,-0.3316,-0.1018,0.05,1,3,3,5,9,8,11,16,10,2,2
P-5307,0.85,2.7714,0.0,20,20,0,0.4,0.9005,0.0,20,20,0,-0.45,-1.8709,0.0,7,2,10,7,15,4,10,16,10,3,5
P-5308,0.95,3.2352,0.0,20,20,0,0.3684,2.6233,0.05,20,19,1,-0.5816,-0.612,0.05,2,2,9,4,18,4,15,21,10,7,2
P-5309,0.8421,2.6374,0.05,20,19,1,0.4706,2.193,0.15,20,17,3,-0.3715,-0.4444,0.1,4,4,9,6,10,8,9,14,10,5,2
P-5310,0.95,3.0937,0.0,20,20,0,0.7368,2.4718,0.05,20,19,1,-0.2132,-0.6219,0.05,2,1,15,3,6,7,11,21,10,13,2
P-5311,0.9375,2.5319,0.2,20,16,4,0.1538,3.1063,0.35,20,13,7,-0.7837,0.5743,0.15,7,4,14,9,14,2,12,14,10,7,5
P-5312,0.9412,3.0374,0.15,20,17,3,0.2632,0.7465,0.05,20,19,1,-0.678,-2.2908,-0.1,6,3,9,5,9,3,11,15,10,3,2
P-5313,0.6,2.0389,0.0,20,20,0,0.8421,2.8007,0.05,20,19,1,0.2421,0.7618,0.05,6,4,16,8,5,3,14,14,10,10,4
P-5314,0.8947,2.8535,0.05,20,19,1,0.6111,3.0652,0.1,20,18,2,-0.2836,0.2117,0.05,5,1,8,4,15,10,10,18,10,3,3
P-5315,0.8,3.4874,0.0,20,20,0,0.6316,2.8499,0.05,20,19,1,-0.1684,-0.6375,0.05,6,9,10,17,12,6,16,16,14,4,8
P-5316,0.7895,2.9557,0.05,20,19,1,0.4444,2.0595,0.1,20,18,2,-0.345,-0.8962,0.05,10,7,14,21,13,10,16,18,18,4,14
P-5317,0.8,2.7671,0.0,20,20,0,0.5714,2.3394,0.3,20,14,6,-0.2286,-0.4277,0.3,10,1,21,21,19,5,21,9,15,11,20
P-5318,0.7368,2.5611,0.05,20,19,1,0.4211,0.4766,0.05,20,19,1,-0.3158,-2.0845,0.0,10,11,21,21,21,21,21,21,17,11,10
P-5319,0.8889,2.7198,0.1,20,18,2,0.7895,2.4917,0.05,20,19,1,-0.0994,-0.2281,-0.05,1,1,10,13,11,4,4,13,7,9,12
P-5320,0.7895,3.166,0.05,20,19,1,0.5789,2.3162,0.05,20,19,1,-0.2105,-0.8498,0.0,14,9,20,21,7,21,6,17,5,6,12
P-5321,0.85,3.6005,0.0,20,20,0,0.5,2.693,0.1,20,18,2,-0.35,-0.9075,0.1,4,3,8,4,9,6,4,2,3,4,1
P-5322,1.0,3.1184,0.1,20,18,2,0.2632,1.4714,0.05,20,19,1,-0.7368,-1.6471,-0.05,4,2,16,11,5,4,20,21,8,12,9
P-5323,0.9444,3.1949,0.1,20,18,2,0.7368,2.6366,0.05,20,19,1,-0.2076,-0.5583,-0.05,8,1,11,21,5,3,18,17,6,3,20
P-5324,0.8421,3.2446,0.05,20,19,1,0.3889,2.3773,0.1,20,18,2,-0.4532,-0.8673,0.05,4,6,11,10,4,6,18,8,13,7,4
P-5325,0.8889,3.5977,0.1,20,18,2,0.4737,2.1846,0.05,20,19,1,-0.4152,-1.4131,-0.05,7,3,21,10,5,4,19,10,10,14,7
P-5326,0.9,2.7303,0.0,20,20,0,0.3158,1.7709,0.05,20,19,1,-0.5842,-0.9594,0.05,6,5,12,20,13,16,18,13,10,6,15
P-5327,0.7895,2.4558,0.05,20,19,1,0.4211,2.6177,0.05,20,19,1,-0.3684,0.162,0.0,8,4,18,10,19,4,15,15,5,10,6
P-5328,0.8,2.3998,0.0,20,20,0,0.3889,2.2284,0.1,20,18,2,-0.4111,-0.1714,0.1,1,1,10,12,12,10,6,4,8,9,11
P-5329,0.95,2.5042,0.0,20,20,0,0.5556,1.5851,0.1,20,18,2,-0.3944,-0.919,0.1,1,1,4,7,10,4,15,8,10,3,6
P-5330,1.0,2.6523,0.1,20,18,2,0.4211,1.4016,0.05,20,19,1,-0.5789,-1.2507,-0.05,5,15,14,12,12,5,20,12,16,9,-3
P-5331,0.85,2.8867,0.0,20,20,0,0.3158,1.8733,0.05,20,19,1,-0.5342,-1.0133,0.05,7,9,13,13,9,11,5,17,12,6,4
P-5332,0.8947,2.5636,0.05,20,19,1,0.2941,2.8456,0.15,20,17,3,-0.6006,0.2821,0.1,6,7,11,17,12,14,8,7,11,5,10
P-5333,0.7368,3.2863,0.05,20,19,1,0.4667,3.5518,0.25,20,15,5,-0.2702,0.2655,0.2,14,14,21,13,11,14,15,21,14,7,-1
P-5334,0.8421,3.6678,0.05,20,19,1,0.4375,3.6712,0.2,20,16,4,-0.4046,0.0033,0.15,9,15,17,6,11,11,18,15,9,8,-9
P-5335,0.9,2.5941,0.0,20,20,0,0.2353,2.5533,0.15,20,17,3,-0.6647,-0.0408,0.15,6,6,12,12,11,8,9,21,10,6,6
P-5336,0.8947,2.7731,0.05,20,19,1,0.3889,3.0622,0.1,20,18,2,-0.5058,0.2891,0.05,4,2,8,7,6,5,10,8,8,4,5
P-5337,0.9474,3.4099,0.05,20,19,1,0.3333,2.3081,0.1,20,18,2,-0.614,-1.1018,0.05,10,10,14,3,9,8,17,12,10,4,-7
