Participant,pre_correct_rate,pre_mean_duration,pre_time_up_rate,pre_n_total,pre_n_valid,pre_n_timeup,post_correct_rate,post_mean_duration,post_time_up_rate,post_n_total,post_n_valid,post_n_timeup,delta_correct_rate,delta_mean_duration,delta_time_up_rate,pre_coss_fatigue,pre_coss_frustration,post_coss_fatigue,post_coss_frustration_level,post_coss_mental_demand,post_coss_physical_demand,post_coss_time_demand,post_coss_overall_performance,post_coss_effort,delta_coss_fatigue,delta_coss_frustration
P-5301,0.8947368421052632,3.6954274804968583,0.05,20,19,1,0.8,3.0767032504081726,0.0,20,20,0,-0.09473684210526312,-0.6187242300886857,-0.05,6,4,17,9,13,2,7,14,10,11,5
P-5302,0.8,3.0767032504081726,0.0,20,20,0,0.5,2.462254500389099,0.0,20,20,0,-0.30000000000000004,-0.6144487500190734,0.0,3,3,12,8,18,3,7,12,10,9,5
P-5303,0.9444444444444444,2.944874975416395,0.1,20,18,2,0.3684210526315789,3.3388052739595113,0.05,20,19,1,-0.5760233918128654,0.3939302985431161,-0.05,7,4,11,9,18,6,15,15,10,4,5
P-5304,0.7894736842105263,3.3845549508144983,0.05,20,19,1,0.35,1.7645708799362183,0.0,20,20,0,-0.43947368421052635,-1.61998407087828,-0.05,6,1,13,5,11,8,9,17,10,7,4
P-5305,0.9473684210526315,3.1025435297112716,0.05,20,19,1,0.35294117647058826,2.2968448049881878,0.15,20,17,3,-0.5944272445820433,-0.8056987247230838,0.09999999999999999,3,4,13,6,10,10,7,21,10,10,2
P-5306,0.7,2.8387290477752685,0.0,20,20,0,0.3684210526315789,2.736916027571026,0.05,20,19,1,-0.33157894736842103,-0.10181302020424265,0.05,1,3,3,5,9,8,11,16,10,2,2
P-5307,0.85,2.771364688873291,0.0,20,20,0,0.4,0.9004644751548767,0.0,20,20,0,-0.44999999999999996,-1.8709002137184143,0.0,7,2,10,7,15,4,10,16,10,3,5
P-5308,0.95,3.2352206707000732,0.0,20,20,0,0.3684210526315789,2.6232658310940393,0.05,20,19,1,-0.581578947368421,-0.6119548396060339,0.05,2,2,9,4,18,4,15,21,10,7,2
P-5309,0.8421052631578947,2.6374209052638005,0.05,20,19,1,0.47058823529411764,2.1930097692153034,0.15,20,17,3,-0.37151702786377705,-0.444411136048497,0.09999999999999999,4,4,9,6,10,8,9,14,10,5,2
P-5310,0.95,3.0937308192253115,0.0,20,20,0,0.7368421052631579,2.4718479106300757,0.05,20,19,1,-0.2131578947368421,-0.6218829085952358,0.05,2,1,15,3,6,7,11,21,10,13,2
P-5311,0.9375,2.53191277384758,0.2,20,16,4,0.15384615384615385,3.1062564849853516,0.35,20,13,7,-0.7836538461538461,0.5743437111377716,0.14999999999999997,7,4,14,9,14,2,12,14,10,7,5
P-5312,0.9411764705882353,3.0373849027297077,0.15,20,17,3,0.2631578947368421,0.7465461931730571,0.05,20,19,1,-0.6780185758513932,-2.2908387095566507,-0.09999999999999999,6,3,9,5,9,3,11,15,10,3,2
P-5313,0.6,2.0389274835586546,0.0,20,20,0,0.8421052631578947,2.8007435171227706,0.05,20,19,1,0.2421052631578947,0.761816033564116,0.05,6,4,16,8,5,3,14,14,10,10,4
P-5314,0.8947368421052632,2.853531837463379,0.05,20,19,1,0.6111111111111112,3.065219349331326,0.1,20,18,2,-0.283625730994152,0.2116875118679471,0.05,5,1,8,4,15,10,10,18,10,3,3
P-5315,0.8,3.4873790740966797,0.0,20,20,0,0.631578947368421,2.8499075237073397,0.05,20,19,1,-0.16842105263157903,-0.63747155038934,0.05,6,9,10,17,12,6,16,16,14,4,8
P-5316,0.7894736842105263,2.955744141026547,0.05,20,19,1,0.4444444444444444,2.059502032068041,0.1,20,18,2,-0.3450292397660819,-0.8962421089585062,0.05,10,7,14,21,13,10,16,18,18,4,14
P-5317,0.8,2.7671228885650634,0.0,20,20,0,0.5714285714285714,2.3394435814448764,0.3,20,14,6,-0.22857142857142865,-0.427679307120187,0.3,10,1,21,21,19,5,21,9,15,11,20
P-5318,0.7368421052631579,2.5610513812617253,0.05,20,19,1,0.42105263157894735,0.4765905330055638,0.05,20,19,1,-0.3157894736842105,-2.0844608482561613,0.0,10,11,21,21,21,21,21,21,17,11,10
P-5319,0.8888888888888888,2.7197827763027616,0.1,20,18,2,0.7894736842105263,2.4916670071451286,0.05,20,19,1,-0.09941520467836251,-0.22811576915763299,-0.05,1,1,10,13,11,4,4,13,7,9,12
P-5320,0.7894736842105263,3.1660199416311166,0.05,20,19,1,0.5789473684210527,2.3162285403201452,0.05,20,19,1,-0.21052631578947367,-0.8497914013109713,0.0,14,9,20,21,7,21,6,17,5,6,12
P-5321,0.85,3.600497603416443,0.0,20,20,0,0.5,2.6930330197016397,0.1,20,18,2,-0.35,-0.9074645837148032,0.1,4,3,8,4,9,6,4,2,3,4,1
P-5322,1.0,3.1184361378351846,0.1,20,18,2,0.2631578947368421,1.471384324525532,0.05,20,19,1,-0.736842105263158,-1.6470518133096526,-0.05,4,2,16,11,5,4,20,21,8,12,9
P-5323,0.9444444444444444,3.1949000358581543,0.1,20,18,2,0.7368421052631579,2.6366194549359774,0.05,20,19,1,-0.20760233918128657,-0.5582805809221769,-0.05,8,1,11,21,5,3,18,17,6,3,20
P-5324,0.8421052631578947,3.244597271869057,0.05,20,19,1,0.3888888888888889,2.377319229973687,0.1,20,18,2,-0.4532163742690058,-0.86727804189537,0.05,4,6,11,10,4,6,18,8,13,7,4
P-5325,0.8888888888888888,3.5977471669514975,0.1,20,18,2,0.47368421052631576,2.1846135541012415,0.05,20,19,1,-0.4152046783625731,-1.413133612850256,-0.05,7,3,21,10,5,4,19,10,10,14,7
P-5326,0.9,2.730340278148651,0.0,20,20,0,0.3157894736842105,1.7709052688197087,0.05,20,19,1,-0.5842105263157895,-0.9594350093289425,0.05,6,5,12,20,13,16,18,13,10,6,15
P-5327,0.7894736842105263,2.4557816354851973,0.05,20,19,1,0.42105263157894735,2.6177399158477783,0.05,20,19,1,-0.368421052631579,0.16195828036258098,0.0,8,4,18,10,19,4,15,15,5,10,6
P-5328,0.8,2.3997644543647767,0.0,20,20,0,0.3888888888888889,2.228391448656718,0.1,20,18,2,-0.41111111111111115,-0.1713730057080589,0.1,1,1,10,12,12,10,6,4,8,9,11
P-5329,0.95,2.5041618227958677,0.0,20,20,0,0.5555555555555556,1.5851299895180597,0.1,20,18,2,-0.3944444444444444,-0.919031833277808,0.1,1,1,4,7,10,4,15,8,10,3,6
P-5330,1.0,2.65232785542806,0.1,20,18,2,0.42105263157894735,1.4016135366339433,0.05,20,19,1,-0.5789473684210527,-1.2507143187941168,-0.05,5,15,14,12,12,5,20,12,16,9,-3
P-5331,0.85,2.8866539716720583,0.0,20,20,0,0.3157894736842105,1.8733282716650712,0.05,20,19,1,-0.5342105263157895,-1.013325700006987,0.05,7,9,13,13,9,11,5,17,12,6,4
P-5332,0.8947368421052632,2.5635644511172644,0.05,20,19,1,0.29411764705882354,2.8456475734710693,0.15,20,17,3,-0.6006191950464397,0.28208312235380495,0.09999999999999999,6,7,11,17,12,14,8,7,11,5,10
P-5333,0.7368421052631579,3.286261044050518,0.05,20,19,1,0.4666666666666667,3.5517932573954263,0.25,20,15,5,-0.2701754385964912,0.2655322133449083,0.2,14,14,21,13,11,14,15,21,14,7,-1
P-5334,0.8421052631578947,3.667821582994963,0.05,20,19,1,0.4375,3.671161398291588,0.2,20,16,4,-0.4046052631578947,0.0033398152966248595,0.15000000000000002,9,15,17,6,11,11,18,15,9,8,-9
P-5335,0.9,2.5940699696540834,0.0,20,20,0,0.23529411764705882,2.5532563293681427,0.15,20,17,3,-0.6647058823529413,-0.0408136402859407,0.15,6,6,12,12,11,8,9,21,10,6,6
P-5336,0.8947368421052632,2.7731373686539498,0.05,20,19,1,0.3888888888888889,3.0622343354754977,0.1,20,18,2,-0.5058479532163742,0.28909696682154795,0.05,4,2,8,7,6,5,10,8,8,4,5
P-5337,0.9473684210526315,3.4098926970833228,0.05,20,19,1,0.3333333333333333,2.3081020514170327,0.1,20,18,2,-0.6140350877192982,-1.10179064566629,0.05,10,10,14,3,9,8,17,12,10,4,-7
