Website Name,participant,session,Originality,User Response,correct,Response Duration,hybrid_score,algo1_score,algo2_score,algo3_score,algo4_score
ups,P-5301,pre,Difficult Fake,Fake,True,2.869802713394165,0.5400905355549765,0.8988608488871557,0.010973611864746532,0.2873788995367653,0.9631487819312383
linkedin,P-5301,pre,Real,Real,True,3.786718606948853,0.5138002403902081,0.9080207263550593,0.0180569902349888,0.16471096476187982,0.9644122802089047
americanexpress,P-5301,pre,Difficult Fake,Fake,True,2.8881678581237797,0.5673661109484304,0.8643417735120829,0.09378232613158714,0.392484996787229,0.9188553473628226
chase,P-5301,pre,Real,Real,True,3.237208843231201,0.7040938715745643,0.8729460616033241,0.824960984883746,0.7016732815980432,0.41679515821314306
amazon,P-5301,pre,Fake,Fake,True,2.8098552227020264,0.5134186655220626,0.922052795023912,0.0032455432234421,0.14639001915511643,0.9819863046857796
twitter,P-5301,pre,Fake,Fake,True,3.44128942489624,0.6205761703983936,0.9533377254730103,0.33718341810424374,0.21466516678850123,0.9771183712278191
americanexpress,P-5301,pre,Real,Real,True,5.4997169971466064,0.5673661109484304,0.8643417735120829,0.09378232613158714,0.392484996787229,0.9188553473628226
walmart,P-5301,pre,Fake,Fake,True,3.603924512863159,0.5162666455693107,0.9612347424909798,0.014021884647266366,0.1134020911408364,0.9764078639981598
ups,P-5301,pre,Real,Real,True,3.977840185165405,0.5400905355549765,0.8988608488871557,0.010973611864746532,0.2873788995367653,0.9631487819312383
linkedin,P-5301,pre,Real,Real,True,2.7982077598571777,0.5138002403902081,0.9080207263550593,0.0180569902349888,0.16471096476187982,0.9644122802089047
instagram,P-5301,pre,Real,Real,True,3.256704807281494,0.5242839895497001,0.916035982244601,0.0064927530142710995,0.19680130861652698,0.9778059143234014
ups,P-5301,pre,Fake,Fake,True,2.575380802154541,0.5400905355549765,0.8988608488871557,0.010973611864746532,0.2873788995367653,0.9631487819312383
skype,P-5301,pre,Real,Real,True,4.001428127288818,0.5140145001012953,0.9655889042896336,0.0312757651350272,0.08690081148767005,0.9722925194928504
ebay,P-5301,pre,Real,Fake,False,4.653948545455933,0.5330837499596305,0.9005510596100494,0.03266517762789,0.24716270666302664,0.9519560559375563
skype,P-5301,pre,Fake,Fake,True,4.335768938064575,0.5140145001012953,0.9655889042896336,0.0312757651350272,0.08690081148767005,0.9722925194928504
netflix,P-5301,pre,Fake,Fake,True,3.845966339111328,0.5130550606137206,0.47926146220162313,0.9971096238993677,0.5711566253327873,0.004692531021104333
paypal,P-5301,pre,Fake,Fake,True,5.24303674697876,0.5031309753907608,0.9902418481681048,0.015572687487858498,0.0220813819720949,0.9846279839349852
twitter,P-5301,pre,Difficult Fake,Real,False,3.941368341445923,0.6205761703983936,0.9533377254730103,0.33718341810424374,0.21466516678850123,0.9771183712278191
walmart,P-5301,pre,Fake,Fake,True,3.4467873573303223,0.5162666455693107,0.9612347424909798,0.014021884647266366,0.1134020911408364,0.9764078639981598
hotels,P-5301,post,Fake,Real,False,3.4613733291625977,0.5024701207678938,0.9419203233432675,0.016601037671892766,0.05584613820718964,0.9955129838492254
instagram,P-5301,post,Difficult Fake,Fake,True,2.875638484954834,0.5242839895497001,0.916035982244601,0.0064927530142710995,0.19680130861652698,0.9778059143234014
americanexpress,P-5301,post,Difficult Fake,Fake,True,3.047216415405273,0.5673661109484304,0.8643417735120829,0.09378232613158714,0.392484996787229,0.9188553473628226
dropbox,P-5301,post,Fake,Fake,True,2.745348691940308,0.570963645453162,0.9322445823156901,0.028693096387216333,0.3863434840710916,0.9365734190386502
facebook,P-5301,post,Difficult Fake,Real,False,2.807538747787476,0.49908667713322474,0.8633932028907103,0.024936751984340335,0.14521536388043557,0.9628013897774131
skype,P-5301,post,Difficult Fake,Fake,True,2.627985954284668,0.5140145001012953,0.9655889042896336,0.0312757651350272,0.08690081148767005,0.9722925194928504
apple,P-5301,post,Fake,Fake,True,3.239948272705078,0.5363093857917739,0.8989634547247899,0.0265051156862389,0.2940935696003628,0.9256754031557038
ups,P-5301,post,Difficult Fake,Fake,True,2.785184383392334,0.5400905355549765,0.8988608488871557,0.010973611864746532,0.2873788995367653,0.9631487819312383
ups,P-5301,post,Fake,Fake,True,2.531569480895996,0.5400905355549765,0.8988608488871557,0.010973611864746532,0.2873788995367653,0.9631487819312383
chase,P-5301,post,Difficult Fake,Fake,True,2.177842140197754,0.7040938715745643,0.8729460616033241,0.824960984883746,0.7016732815980432,0.41679515821314306
bestbuy,P-5301,post,Difficult Fake,Fake,True,2.576416254043579,0.541578858999112,0.8423175908079896,0.13087608746491272,0.3140118366184083,0.8791099211051372
paypal,P-5301,post,Difficult Fake,Fake,True,3.7255687713623047,0.5031309753907608,0.9902418481681048,0.015572687487858498,0.0220813819720949,0.9846279839349852
ebay,P-5301,post,Real,Fake,False,5.607605457305908,0.5330837499596305,0.9005510596100494,0.03266517762789,0.24716270666302664,0.9519560559375563
hotels,P-5301,post,Difficult Fake,Fake,True,4.531712532043457,0.5024701207678938,0.9419203233432675,0.016601037671892766,0.05584613820718964,0.9955129838492254
paypal,P-5301,post,Real,Real,True,2.964911699295044,0.5031309753907608,0.9902418481681048,0.015572687487858498,0.0220813819720949,0.9846279839349852
hotels,P-5301,post,Real,Real,True,2.8278253078460693,0.5024701207678938,0.9419203233432675,0.016601037671892766,0.05584613820718964,0.9955129838492254
